Username,Name,Followers,Category,GMV,Items Sold,Avg Views,Engagement,Previously Invited
regularjoey0,regularjoey0,11.7K,Textiles & Soft Furnishings,£175.3K,8.4K,3.6K,0.3%,False
ben_approved,Ben Approved 💁🏼‍♂️,20.8K,Beauty & Personal Care,£135.9K,4.7K,1.9K,0.4%,False
life.made.easy_,Life Made Easy,5.3K,Household Appliances,£129.9K,3.7K,1.7K,0.2%,False
team.finds,Team Finds,21.6K,Home Supplies,£114.5K,7.5K,6.1K,0.3%,False
carlatokshop,Carla ✨,5.8K,Textiles & Soft Furnishings,£91K,6K,1.2K,0.4%,False
sam_sweet_brummom,Mrs sweet,14K,Home Supplies,£77.5K,4.3K,860,0.5%,False
samantha.x89,samantha,5.8K,Textiles & Soft Furnishings,£53.2K,4.1K,1.8K,1.4%,False
ticktrovee,Emily,2.6K,Textiles & Soft Furnishings,£51.4K,2.6K,2.6K,0.4%,False
georgiafoxx11,Georgiafox,149K,Beauty & Personal Care,£42.8K,2.6K,2.3K,1.5%,False
nicola.henny20,Nicola Henshall,4.4K,Automotive & Motorcycle,£44.8K,5K,1.6K,0.3%,False
thegirlybuys,thegirlybuys,4.1K,Beauty & Personal Care,£35K,2.2K,695,0.7%,False
sleep.cult,Sleep Cult,5.6K,Textiles & Soft Furnishings,£32.3K,2.1K,4.3K,0.3%,False
